gene	pathway	pathway_name
BSGatlas-gene-96	ko00770	Pantothenate and CoA biosynthesis
BSGatlas-gene-96	ko01100	Metabolic pathways
BSGatlas-gene-96	ko01240	Biosynthesis of cofactors
BSGatlas-gene-99	ko00270	Cysteine and methionine metabolism
BSGatlas-gene-99	ko00920	Sulfur metabolism
BSGatlas-gene-99	ko01100	Metabolic pathways
BSGatlas-gene-99	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-99	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-99	ko01200	Carbon metabolism
BSGatlas-gene-99	ko01230	Biosynthesis of amino acids
BSGatlas-gene-100	ko00790	Folate biosynthesis
BSGatlas-gene-100	ko01240	Biosynthesis of cofactors
BSGatlas-gene-101	ko00790	Folate biosynthesis
BSGatlas-gene-101	ko01240	Biosynthesis of cofactors
BSGatlas-gene-102	ko00790	Folate biosynthesis
BSGatlas-gene-102	ko01240	Biosynthesis of cofactors
BSGatlas-gene-103	ko00790	Folate biosynthesis
BSGatlas-gene-103	ko01100	Metabolic pathways
BSGatlas-gene-103	ko01240	Biosynthesis of cofactors
BSGatlas-gene-104	ko00790	Folate biosynthesis
BSGatlas-gene-104	ko01100	Metabolic pathways
BSGatlas-gene-104	ko01240	Biosynthesis of cofactors
BSGatlas-gene-105	ko00790	Folate biosynthesis
BSGatlas-gene-105	ko01100	Metabolic pathways
BSGatlas-gene-105	ko01240	Biosynthesis of cofactors
BSGatlas-gene-109	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-110	ko03010	Ribosome
BSGatlas-gene-111	ko03010	Ribosome
BSGatlas-gene-112	ko03010	Ribosome
BSGatlas-gene-113	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-114	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-115	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-116	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-117	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-118	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-119	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-120	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-121	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-122	ko03010	Ribosome
BSGatlas-gene-123	ko03010	Ribosome
BSGatlas-gene-124	ko03010	Ribosome
BSGatlas-gene-132	ko00900	Terpenoid backbone biosynthesis
BSGatlas-gene-132	ko01100	Metabolic pathways
BSGatlas-gene-132	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-133	ko00900	Terpenoid backbone biosynthesis
BSGatlas-gene-133	ko01100	Metabolic pathways
BSGatlas-gene-133	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-134	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-134	ko01100	Metabolic pathways
BSGatlas-gene-134	ko01240	Biosynthesis of cofactors
BSGatlas-gene-136	ko00270	Cysteine and methionine metabolism
BSGatlas-gene-136	ko00920	Sulfur metabolism
BSGatlas-gene-136	ko01100	Metabolic pathways
BSGatlas-gene-136	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-136	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-136	ko01200	Carbon metabolism
BSGatlas-gene-136	ko01230	Biosynthesis of amino acids
BSGatlas-gene-137	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-142	ko03010	Ribosome
BSGatlas-gene-143	ko02024	Quorum sensing
BSGatlas-gene-143	ko03060	Protein export
BSGatlas-gene-143	ko03070	Bacterial secretion system
BSGatlas-gene-145	ko03010	Ribosome
BSGatlas-gene-146	ko03010	Ribosome
BSGatlas-gene-148	ko03010	Ribosome
BSGatlas-gene-149	ko03010	Ribosome
BSGatlas-gene-151	ko03020	RNA polymerase
BSGatlas-gene-152	ko03020	RNA polymerase
BSGatlas-gene-153	ko03010	Ribosome
BSGatlas-gene-154	ko03010	Ribosome
BSGatlas-gene-155	ko03010	Ribosome
BSGatlas-gene-160	ko03010	Ribosome
BSGatlas-gene-161	ko03010	Ribosome
BSGatlas-gene-162	ko03010	Ribosome
BSGatlas-gene-163	ko03010	Ribosome
BSGatlas-gene-164	ko03010	Ribosome
BSGatlas-gene-165	ko03010	Ribosome
BSGatlas-gene-166	ko03010	Ribosome
BSGatlas-gene-167	ko03010	Ribosome
BSGatlas-gene-168	ko03010	Ribosome
BSGatlas-gene-169	ko03010	Ribosome
BSGatlas-gene-170	ko03010	Ribosome
BSGatlas-gene-171	ko03010	Ribosome
BSGatlas-gene-172	ko03010	Ribosome
BSGatlas-gene-173	ko03010	Ribosome
BSGatlas-gene-174	ko03010	Ribosome
BSGatlas-gene-175	ko03010	Ribosome
BSGatlas-gene-176	ko03010	Ribosome
BSGatlas-gene-177	ko03010	Ribosome
BSGatlas-gene-178	ko03010	Ribosome
BSGatlas-gene-179	ko03010	Ribosome
BSGatlas-gene-180	ko03010	Ribosome
BSGatlas-gene-181	ko02024	Quorum sensing
BSGatlas-gene-181	ko03060	Protein export
BSGatlas-gene-181	ko03070	Bacterial secretion system
BSGatlas-gene-182	ko00230	Purine metabolism
BSGatlas-gene-182	ko00730	Thiamine metabolism
BSGatlas-gene-182	ko01100	Metabolic pathways
BSGatlas-gene-182	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-182	ko01240	Biosynthesis of cofactors
BSGatlas-gene-186	ko03010	Ribosome
BSGatlas-gene-187	ko03010	Ribosome
BSGatlas-gene-188	ko03010	Ribosome
BSGatlas-gene-189	ko03020	RNA polymerase
BSGatlas-gene-190	ko03010	Ribosome
BSGatlas-gene-191	ko02010	ABC transporters
BSGatlas-gene-192	ko02010	ABC transporters
BSGatlas-gene-193	ko02010	ABC transporters
BSGatlas-gene-197	ko03010	Ribosome
BSGatlas-gene-198	ko03010	Ribosome
BSGatlas-gene-201	ko01503	Cationic antimicrobial peptide (CAMP) resistance
BSGatlas-gene-206	ko03010	Ribosome
BSGatlas-gene-207	ko03010	Ribosome
BSGatlas-gene-208	ko03010	Ribosome
BSGatlas-gene-209	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-210	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-211	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-212	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-213	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-214	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-215	ko03010	Ribosome
BSGatlas-gene-216	ko03010	Ribosome
BSGatlas-gene-217	ko03010	Ribosome
BSGatlas-gene-218	ko03010	Ribosome
BSGatlas-gene-219	ko03010	Ribosome
BSGatlas-gene-220	ko03010	Ribosome
BSGatlas-gene-229	ko00520	Amino sugar and nucleotide sugar metabolism
BSGatlas-gene-229	ko01100	Metabolic pathways
BSGatlas-gene-229	ko01501	beta-Lactam resistance
BSGatlas-gene-230	ko00550	Peptidoglycan biosynthesis
BSGatlas-gene-231	ko00500	Starch and sucrose metabolism
BSGatlas-gene-231	ko02060	Phosphotransferase system (PTS)
BSGatlas-gene-233	ko00520	Amino sugar and nucleotide sugar metabolism
BSGatlas-gene-233	ko01100	Metabolic pathways
BSGatlas-gene-236	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-237	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-238	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-239	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-240	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-245	ko00520	Amino sugar and nucleotide sugar metabolism
BSGatlas-gene-245	ko01100	Metabolic pathways
BSGatlas-gene-247	ko00250	Alanine, aspartate and glutamate metabolism
BSGatlas-gene-247	ko00520	Amino sugar and nucleotide sugar metabolism
BSGatlas-gene-247	ko01100	Metabolic pathways
BSGatlas-gene-249	ko03410	Base excision repair
BSGatlas-gene-253	ko00190	Oxidative phosphorylation
BSGatlas-gene-253	ko01100	Metabolic pathways
BSGatlas-gene-260	ko00250	Alanine, aspartate and glutamate metabolism
BSGatlas-gene-260	ko00520	Amino sugar and nucleotide sugar metabolism
BSGatlas-gene-260	ko01100	Metabolic pathways
BSGatlas-gene-278	ko01501	beta-Lactam resistance
BSGatlas-gene-282	ko00564	Glycerophospholipid metabolism
BSGatlas-gene-295	ko00230	Purine metabolism
BSGatlas-gene-295	ko00670	One carbon pool by folate
BSGatlas-gene-295	ko01100	Metabolic pathways
BSGatlas-gene-295	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-299	ko00260	Glycine, serine and threonine metabolism
BSGatlas-gene-299	ko00564	Glycerophospholipid metabolism
BSGatlas-gene-299	ko01100	Metabolic pathways
BSGatlas-gene-299	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-301	ko00564	Glycerophospholipid metabolism
BSGatlas-gene-301	ko01100	Metabolic pathways
BSGatlas-gene-301	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-307	ko00520	Amino sugar and nucleotide sugar metabolism
BSGatlas-gene-307	ko02060	Phosphotransferase system (PTS)
BSGatlas-gene-308	ko00520	Amino sugar and nucleotide sugar metabolism
BSGatlas-gene-308	ko01100	Metabolic pathways
BSGatlas-gene-311	ko00270	Cysteine and methionine metabolism
BSGatlas-gene-311	ko00280	Valine, leucine and isoleucine degradation
BSGatlas-gene-311	ko00290	Valine, leucine and isoleucine biosynthesis
BSGatlas-gene-311	ko00770	Pantothenate and CoA biosynthesis
BSGatlas-gene-311	ko01100	Metabolic pathways
BSGatlas-gene-311	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-311	ko01210	2-Oxocarboxylic acid metabolism
BSGatlas-gene-311	ko01230	Biosynthesis of amino acids
BSGatlas-gene-311	ko01240	Biosynthesis of cofactors
BSGatlas-gene-313	ko00270	Cysteine and methionine metabolism
BSGatlas-gene-313	ko01100	Metabolic pathways
BSGatlas-gene-313	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-314	ko02020	Two-component system
BSGatlas-gene-315	ko00220	Arginine biosynthesis
BSGatlas-gene-315	ko00250	Alanine, aspartate and glutamate metabolism
BSGatlas-gene-315	ko00471	D-Glutamine and D-glutamate metabolism
BSGatlas-gene-315	ko01100	Metabolic pathways
BSGatlas-gene-315	ko02020	Two-component system
BSGatlas-gene-316	ko02020	Two-component system
BSGatlas-gene-317	ko02020	Two-component system
BSGatlas-gene-318	ko00053	Ascorbate and aldarate metabolism
BSGatlas-gene-318	ko01100	Metabolic pathways
BSGatlas-gene-319	ko00040	Pentose and glucuronate interconversions
BSGatlas-gene-319	ko01100	Metabolic pathways
BSGatlas-gene-321	ko00053	Ascorbate and aldarate metabolism
BSGatlas-gene-321	ko01100	Metabolic pathways
BSGatlas-gene-323	ko00053	Ascorbate and aldarate metabolism
BSGatlas-gene-323	ko01100	Metabolic pathways
BSGatlas-gene-338	ko00790	Folate biosynthesis
BSGatlas-gene-338	ko01100	Metabolic pathways
BSGatlas-gene-338	ko01240	Biosynthesis of cofactors
BSGatlas-gene-338	ko02020	Two-component system
BSGatlas-gene-339	ko03060	Protein export
BSGatlas-gene-339	ko03070	Bacterial secretion system
BSGatlas-gene-340	ko03060	Protein export
BSGatlas-gene-340	ko03070	Bacterial secretion system
BSGatlas-gene-345	ko00250	Alanine, aspartate and glutamate metabolism
BSGatlas-gene-345	ko00460	Cyanoamino acid metabolism
BSGatlas-gene-345	ko01100	Metabolic pathways
BSGatlas-gene-345	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-346	ko00561	Glycerolipid metabolism
BSGatlas-gene-346	ko01100	Metabolic pathways
BSGatlas-gene-349	ko02020	Two-component system
BSGatlas-gene-350	ko02020	Two-component system
BSGatlas-gene-351	ko02010	ABC transporters
BSGatlas-gene-351	ko02020	Two-component system
BSGatlas-gene-352	ko02010	ABC transporters
BSGatlas-gene-352	ko02020	Two-component system
BSGatlas-gene-361	ko00030	Pentose phosphate pathway
BSGatlas-gene-361	ko01100	Metabolic pathways
BSGatlas-gene-361	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-361	ko01200	Carbon metabolism
BSGatlas-gene-362	ko00052	Galactose metabolism
BSGatlas-gene-362	ko00500	Starch and sucrose metabolism
BSGatlas-gene-362	ko01100	Metabolic pathways
BSGatlas-gene-363	ko02010	ABC transporters
BSGatlas-gene-364	ko02010	ABC transporters
BSGatlas-gene-365	ko02010	ABC transporters
BSGatlas-gene-377	ko02010	ABC transporters
BSGatlas-gene-378	ko02010	ABC transporters
BSGatlas-gene-379	ko02010	ABC transporters
BSGatlas-gene-383	ko00500	Starch and sucrose metabolism
BSGatlas-gene-383	ko01100	Metabolic pathways
BSGatlas-gene-383	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-384	ko00010	Glycolysis / Gluconeogenesis
BSGatlas-gene-384	ko00270	Cysteine and methionine metabolism
BSGatlas-gene-384	ko00620	Pyruvate metabolism
BSGatlas-gene-384	ko00640	Propanoate metabolism
BSGatlas-gene-384	ko01100	Metabolic pathways
BSGatlas-gene-384	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-384	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-392	ko00760	Nicotinate and nicotinamide metabolism
BSGatlas-gene-392	ko01100	Metabolic pathways
BSGatlas-gene-392	ko01240	Biosynthesis of cofactors
BSGatlas-gene-395	ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis
BSGatlas-gene-395	ko01100	Metabolic pathways
BSGatlas-gene-395	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-395	ko01230	Biosynthesis of amino acids
BSGatlas-gene-398	ko00311	Penicillin and cephalosporin biosynthesis
BSGatlas-gene-398	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-400	ko00330	Arginine and proline metabolism
BSGatlas-gene-400	ko01100	Metabolic pathways
BSGatlas-gene-400	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-401	ko00250	Alanine, aspartate and glutamate metabolism
BSGatlas-gene-401	ko00330	Arginine and proline metabolism
BSGatlas-gene-401	ko01100	Metabolic pathways
BSGatlas-gene-409	ko00860	Porphyrin and chlorophyll metabolism
BSGatlas-gene-409	ko01100	Metabolic pathways
BSGatlas-gene-409	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-409	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-409	ko01240	Biosynthesis of cofactors
BSGatlas-gene-410	ko00910	Nitrogen metabolism
BSGatlas-gene-410	ko01100	Metabolic pathways
BSGatlas-gene-410	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-411	ko00910	Nitrogen metabolism
BSGatlas-gene-411	ko01100	Metabolic pathways
BSGatlas-gene-411	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-412	ko00910	Nitrogen metabolism
BSGatlas-gene-412	ko01100	Metabolic pathways
BSGatlas-gene-412	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-413	ko00910	Nitrogen metabolism
BSGatlas-gene-413	ko01100	Metabolic pathways
BSGatlas-gene-413	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-414	ko00910	Nitrogen metabolism
BSGatlas-gene-415	ko00790	Folate biosynthesis
BSGatlas-gene-415	ko01100	Metabolic pathways
BSGatlas-gene-415	ko01240	Biosynthesis of cofactors
BSGatlas-gene-419	ko02010	ABC transporters
BSGatlas-gene-420	ko02010	ABC transporters
BSGatlas-gene-420	ko02040	Flagellar assembly
BSGatlas-gene-424	ko00010	Glycolysis / Gluconeogenesis
BSGatlas-gene-424	ko00500	Starch and sucrose metabolism
BSGatlas-gene-427	ko02020	Two-component system
BSGatlas-gene-427	ko02030	Bacterial chemotaxis
BSGatlas-gene-428	ko00030	Pentose phosphate pathway
BSGatlas-gene-428	ko00680	Methane metabolism
BSGatlas-gene-428	ko01100	Metabolic pathways
BSGatlas-gene-428	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-428	ko01200	Carbon metabolism
BSGatlas-gene-428	ko01230	Biosynthesis of amino acids
BSGatlas-gene-429	ko00030	Pentose phosphate pathway
BSGatlas-gene-429	ko00680	Methane metabolism
BSGatlas-gene-429	ko01100	Metabolic pathways
BSGatlas-gene-429	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-429	ko01200	Carbon metabolism
BSGatlas-gene-429	ko01230	Biosynthesis of amino acids
BSGatlas-gene-432	ko01054	Nonribosomal peptide structures
BSGatlas-gene-432	ko02024	Quorum sensing
BSGatlas-gene-433	ko01054	Nonribosomal peptide structures
BSGatlas-gene-433	ko02024	Quorum sensing
BSGatlas-gene-434	ko02020	Two-component system
BSGatlas-gene-434	ko02024	Quorum sensing
BSGatlas-gene-435	ko01054	Nonribosomal peptide structures
BSGatlas-gene-435	ko02024	Quorum sensing
BSGatlas-gene-436	ko02024	Quorum sensing
BSGatlas-gene-444	ko02010	ABC transporters
BSGatlas-gene-445	ko02010	ABC transporters
BSGatlas-gene-446	ko02010	ABC transporters
BSGatlas-gene-446	ko02040	Flagellar assembly
BSGatlas-gene-448	ko00130	Ubiquinone and other terpenoid-quinone biosynthesis
BSGatlas-gene-448	ko00627	Aminobenzoate degradation
BSGatlas-gene-448	ko01100	Metabolic pathways
BSGatlas-gene-448	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-448	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-448	ko01220	Degradation of aromatic compounds
BSGatlas-gene-448	ko01240	Biosynthesis of cofactors
BSGatlas-gene-449	ko00627	Aminobenzoate degradation
BSGatlas-gene-449	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-449	ko01220	Degradation of aromatic compounds
BSGatlas-gene-450	ko00627	Aminobenzoate degradation
BSGatlas-gene-450	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-450	ko01220	Degradation of aromatic compounds
BSGatlas-gene-463	ko02024	Quorum sensing
BSGatlas-gene-464	ko02024	Quorum sensing
BSGatlas-gene-467	ko00260	Glycine, serine and threonine metabolism
BSGatlas-gene-467	ko00261	Monobactam biosynthesis
BSGatlas-gene-467	ko00270	Cysteine and methionine metabolism
BSGatlas-gene-467	ko00300	Lysine biosynthesis
BSGatlas-gene-467	ko01100	Metabolic pathways
BSGatlas-gene-467	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-467	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-467	ko01210	2-Oxocarboxylic acid metabolism
BSGatlas-gene-467	ko01230	Biosynthesis of amino acids
BSGatlas-gene-474	ko00740	Riboflavin metabolism
BSGatlas-gene-474	ko01100	Metabolic pathways
BSGatlas-gene-478	ko00250	Alanine, aspartate and glutamate metabolism
BSGatlas-gene-478	ko00280	Valine, leucine and isoleucine degradation
BSGatlas-gene-478	ko00310	Lysine degradation
BSGatlas-gene-478	ko00410	beta-Alanine metabolism
BSGatlas-gene-478	ko00640	Propanoate metabolism
BSGatlas-gene-478	ko00650	Butanoate metabolism
BSGatlas-gene-478	ko01100	Metabolic pathways
BSGatlas-gene-478	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-479	ko00250	Alanine, aspartate and glutamate metabolism
BSGatlas-gene-479	ko00310	Lysine degradation
BSGatlas-gene-479	ko00350	Tyrosine metabolism
BSGatlas-gene-479	ko00650	Butanoate metabolism
BSGatlas-gene-479	ko00760	Nicotinate and nicotinamide metabolism
BSGatlas-gene-479	ko01100	Metabolic pathways
BSGatlas-gene-479	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-481	ko00030	Pentose phosphate pathway
BSGatlas-gene-481	ko01100	Metabolic pathways
BSGatlas-gene-481	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-481	ko01200	Carbon metabolism
BSGatlas-gene-486	ko00051	Fructose and mannose metabolism
BSGatlas-gene-486	ko01100	Metabolic pathways
BSGatlas-gene-486	ko02060	Phosphotransferase system (PTS)
BSGatlas-gene-487	ko00051	Fructose and mannose metabolism
BSGatlas-gene-487	ko01100	Metabolic pathways
BSGatlas-gene-487	ko02060	Phosphotransferase system (PTS)
BSGatlas-gene-488	ko00051	Fructose and mannose metabolism
BSGatlas-gene-488	ko01100	Metabolic pathways
BSGatlas-gene-489	ko00630	Glyoxylate and dicarboxylate metabolism
BSGatlas-gene-489	ko00650	Butanoate metabolism
BSGatlas-gene-489	ko01100	Metabolic pathways
BSGatlas-gene-490	ko03060	Protein export
BSGatlas-gene-494	ko00740	Riboflavin metabolism
BSGatlas-gene-494	ko01100	Metabolic pathways
BSGatlas-gene-494	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-494	ko01240	Biosynthesis of cofactors
BSGatlas-gene-495	ko00480	Glutathione metabolism
BSGatlas-gene-495	ko01100	Metabolic pathways
BSGatlas-gene-510	ko00040	Pentose and glucuronate interconversions
BSGatlas-gene-527	ko00620	Pyruvate metabolism
BSGatlas-gene-527	ko01100	Metabolic pathways
BSGatlas-gene-541	ko02020	Two-component system
BSGatlas-gene-542	ko02020	Two-component system
BSGatlas-gene-543	ko02020	Two-component system
BSGatlas-gene-554	ko00473	D-Alanine metabolism
BSGatlas-gene-554	ko00550	Peptidoglycan biosynthesis
BSGatlas-gene-554	ko01100	Metabolic pathways
BSGatlas-gene-554	ko01502	Vancomycin resistance
BSGatlas-gene-555	ko00300	Lysine biosynthesis
BSGatlas-gene-555	ko00550	Peptidoglycan biosynthesis
BSGatlas-gene-555	ko01100	Metabolic pathways
BSGatlas-gene-555	ko01502	Vancomycin resistance
BSGatlas-gene-556	ko03018	RNA degradation
BSGatlas-gene-561	ko00770	Pantothenate and CoA biosynthesis
BSGatlas-gene-563	ko00473	D-Alanine metabolism
BSGatlas-gene-563	ko01100	Metabolic pathways
BSGatlas-gene-563	ko01502	Vancomycin resistance
BSGatlas-gene-583	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-584	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-585	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-586	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-587	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-588	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-589	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-666	ko02020	Two-component system
BSGatlas-gene-667	ko02020	Two-component system
BSGatlas-gene-668	ko02020	Two-component system
BSGatlas-gene-687	ko02010	ABC transporters
BSGatlas-gene-701	ko00730	Thiamine metabolism
BSGatlas-gene-701	ko00790	Folate biosynthesis
BSGatlas-gene-701	ko01100	Metabolic pathways
BSGatlas-gene-701	ko01240	Biosynthesis of cofactors
BSGatlas-gene-701	ko02020	Two-component system
BSGatlas-gene-709	ko00500	Starch and sucrose metabolism
BSGatlas-gene-709	ko02060	Phosphotransferase system (PTS)
BSGatlas-gene-710	ko00500	Starch and sucrose metabolism
BSGatlas-gene-710	ko02060	Phosphotransferase system (PTS)
BSGatlas-gene-711	ko00500	Starch and sucrose metabolism
BSGatlas-gene-711	ko02060	Phosphotransferase system (PTS)
BSGatlas-gene-712	ko00010	Glycolysis / Gluconeogenesis
BSGatlas-gene-712	ko00500	Starch and sucrose metabolism
BSGatlas-gene-714	ko00051	Fructose and mannose metabolism
BSGatlas-gene-714	ko00500	Starch and sucrose metabolism
BSGatlas-gene-714	ko00520	Amino sugar and nucleotide sugar metabolism
BSGatlas-gene-714	ko01100	Metabolic pathways
BSGatlas-gene-714	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-715	ko00051	Fructose and mannose metabolism
BSGatlas-gene-715	ko00520	Amino sugar and nucleotide sugar metabolism
BSGatlas-gene-715	ko00541	O-Antigen nucleotide sugar biosynthesis
BSGatlas-gene-715	ko01100	Metabolic pathways
BSGatlas-gene-715	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-715	ko01240	Biosynthesis of cofactors
